		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   29   23   21   27   24   25   34   24  5.690565 0.681848 SUCCESS   0
000000011   22   22   30   25   31   25   40   29 14.903337 0.061052 SUCCESS   1
000000101   26   19   25   21   31   26   19   22  5.281461 0.727113 SUCCESS   2
000000111   31   22   30   19   22   24   42   24 18.037150 0.020950 SUCCESS   3
000001001   24   27   30   22   24   20   11   24 10.305226 0.244253 SUCCESS   4
000001011   30   18   23   23   27   28   22   20  5.129206 0.743681 SUCCESS   5
000001101   21   27   18   28   27   28   25   30  5.241080 0.731526 SUCCESS   6
000001111   36   23   35   17   19   16   35   26 21.959380 0.004992 FAILURE   7
000010001   23   25   32   27   22   29   23   22  4.300407 0.829054 SUCCESS   8
000010011   22   27   30   27   24   25   27   26  2.564034 0.958678 SUCCESS   9
000010101   25   35   29   29   24   25   25   21  7.097934 0.526104 SUCCESS  10
000010111   30   25   22   20   27   30   21   21  5.002768 0.757280 SUCCESS  11
000011001   24   14   19   22   19   24   14   18 13.623068 0.092135 SUCCESS  12
000011011   18   23   19   27   17   27   29   25  6.856973 0.552140 SUCCESS  13
000011101   26   27   20   15   23   30   19   30  8.933604 0.347928 SUCCESS  14
000011111   26   21   19   21   23   21   33   17  8.347751 0.400259 SUCCESS  15
000100011   24   23   26   20   25   20   23   28  2.485258 0.962415 SUCCESS  16
000100101   12   26   13   29   28   20   16   24 17.387086 0.026322 SUCCESS  17
000100111   27   29   29   21   30   24   26   29  4.912076 0.766931 SUCCESS  18
000101001   28   27   28   27   26   26   20   29  3.606652 0.890757 SUCCESS  19
000101011   21   27   27   31   20   31   31   30  8.750897 0.363744 SUCCESS  20
000101101   24   25   27   26   19   28   27   27  2.775205 0.947663 SUCCESS  21
000101111   27   22   24   20   36   33   23   23 10.359508 0.240694 SUCCESS  22
000110011   23   19   14   19   18   23   18   18 12.419589 0.133442 SUCCESS  23
000110101   22   23   29   18   21   25   20   36  9.984827 0.266092 SUCCESS  24
000110111   22   22   26   21   30   32   29   25  5.775298 0.672385 SUCCESS  25
000111001   22   28   24   21   25   25   21   24  1.815997 0.986142 SUCCESS  26
000111011   29   22   21   20   22   22   17   33  8.390780 0.396258 SUCCESS  27
000111101   24   19   33   26   21   16   29   26  8.968027 0.345000 SUCCESS  28
000111111   34   19   15   17   19   20   31   21 15.591796 0.048610 SUCCESS  29
001000011   29   19   22   19   28   19   15   32 11.584833 0.170711 SUCCESS  30
001000101   25   20   36   31   21   26   20   21 10.290662 0.245215 SUCCESS  31
